id,full_name,email,password_hash,role,reputation_plus,reputation_minus,allow_bid,is_blocked,last_login,address,dob,created_at
03d30abe-7acd-49da-a689-8171fec6fa4c,Cheston Mathwin,cmathwinn@naver.com,$2a$04$zTQ.CqTG8Fs3GakokVnwWueSN0Cf/0g2i2ZuaY.KfpwlHabukHDQO,seller,1,45,false,false,2025-07-26 00:00:00,01 Lunder Drive,2008-07-15,2024-04-29 00:00:00
0ebb62af-f47d-4c9f-a3ac-f41834e0a2b9,Bat Coxhead,bcoxheadk@cdc.gov,$2a$04$KnVh3KvQvyiG8XBliU4/K.Oh1yBtLZmW64.4e1hdXWS4X4LZodQ3.,bidder,26,29,false,false,2025-04-30 00:00:00,279 Susan Way,2009-08-29,2024-09-23 00:00:00
11393531-e33a-4a41-a5d9-518cd668ba71,Murdoch Serraillier,mserraillierq@ask.com,$2a$04$EISpN.0alxtzH.XWXPWcUem3hB6oVzk1Lc73IkdjEFz84.hjA.Zty,bidder,154,32,false,true,2025-09-24 00:00:00,1730 Novick Alley,2006-06-28,2025-06-21 00:00:00
11c14be1-13ce-48a1-bd33-0830cca9c4da,Hamel Bootes,hbootesl@earthlink.net,$2a$04$YvYJKu/FAKHk3fG1UrEGbOSr0eayWI/xV2Ah3akzxM7002fORY/i.,bidder,35,3,true,true,2025-08-22 00:00:00,620 Twin Pines Pass,2002-07-31,2024-02-13 00:00:00
14de0956-48d5-4aac-a4ed-5353150ae13c,Caritta Sally,csallyh@cmu.edu,$2a$04$7MEaNTT3TgKJuCShMZrts.Oi9XorZsWmHQBqEZapRhJ37StT9T.3i,bidder,6,43,false,false,2025-09-22 00:00:00,1642 Summit Court,2001-09-13,2025-07-23 00:00:00
153ff855-cd4e-41f7-9232-d0d2c3a514a4,Carlin Churchlow,cchurchlowj@opensource.org,$2a$04$F2561nG4NmOmCDfe2HDVoe3knxzDrZcMuvJrdNA9X.HfyG95POJbW,bidder,153,39,true,false,2025-03-31 00:00:00,6 Aberg Drive,2001-05-12,2024-06-18 00:00:00
19bbe416-4c3e-4fc7-a43d-a3348f55a09e,Morgun Nuton,mnutond@blogger.com,$2a$04$dstd4wtCjKMhQa3dcphpuO5fgO34mDELVIIgg0n8UYezyFqJfcrgC,bidder,180,2,false,true,2025-04-06 00:00:00,36 Artisan Drive,2009-08-02,2025-02-11 00:00:00
1b2529fc-0ef1-433b-9d87-a2df61c453fc,Don Whitton,dwhitton6@nifty.com,$2a$04$Aq9B/fvRo3YxSabcrDMbUOEQJcCLs4/QbWGuvwRRiWZIBBtoZEB7S,bidder,135,32,true,false,2025-07-27 00:00:00,5536 Dakota Junction,2000-12-31,2025-11-29 00:00:00
2cb7600f-ec9f-4ae5-bf0f-37e01d46fe9f,Nettle Durn,ndurnb@ft.com,$2a$04$gwBspgvDx/uw4b8hs.0XWu2dOw60sBVfRcMa/bnHwlYA1.BYn1M4S,seller,11,47,true,false,2025-04-14 00:00:00,940 Dryden Way,2001-11-13,2025-01-09 00:00:00
2cbb0044-f5b8-49fd-929b-9d2ef0526033,Corry Deviney,cdeviney5@xinhuanet.com,$2a$04$3UkezWqFL5O.xUcBvuASe.RCW5jXz12JlbW0EzZDFo9uWjQIrl65.,bidder,4,25,true,false,2025-04-22 00:00:00,96181 Ryan Avenue,2005-06-25,2025-04-09 00:00:00
